title,url,category,description,datetime,title_len
Прем'єр Словаччини їде до Москви з місією від президента України,https://www.rbc.ua/rus/news/prem-er-slovachchini-yide-moskvi-misieyu-1778186155.html,,,00:12,64
"У Львові спалах сальмонельозу в дитсадку, діти потрапили в лікарню",https://www.rbc.ua/rus/news/lvovi-spalah-salmonelozu-ditsadku-diti-potrapili-1778186099.html,,,23:34,66
"Іран здатен місяцями протистояти морській блокаді США, - WP",https://www.rbc.ua/rus/news/iran-zdaten-misyatsyami-protistoyati-morskiy-1778183244.html,,,23:10,59
"Масштабна лісова пожежа спалахнула під Києвом, вогонь охопив десятки гектарів",https://www.rbc.ua/rus/news/masshtabna-lisova-pozhezha-spalahnula-pid-1778183220.html,,,22:51,77
"ЄС готує власні переговори з Росією через розчарування діями Трампа, - FT",https://www.rbc.ua/rus/news/es-gotue-vlasni-peregovori-rosieyu-cherez-1778180760.html,,,22:20,73
Кабмін спростив проживання в Україні іноземців із ЗСУ та Нацгвардії,https://www.rbc.ua/rus/news/kabmin-chinit-opir-prozhivannyu-ukrayini-1778179829.html,,,21:55,67
"""Обмовка за Фрейдом"": МЗС упіймало помічника Путіна на брехні щодо миру з Україною",https://www.rbc.ua/rus/news/obmovka-freydom-mzs-upiymalo-pomichnika-putina-1778178700.html,,,21:40,82
"У Путіна шукають ""образ перемоги"", щоб ""продати"" росіянам мир з Україною, - ЗМІ",https://www.rbc.ua/rus/news/putina-shukayut-obraz-peremogi-shchob-prodati-1778177462.html,,,21:25,79
"ОАЕ таємно транспортують нафту через Ормузьку протоку, - Reuters",https://www.rbc.ua/rus/news/oae-taemno-transportuyut-naftu-cherez-ormuzku-1778175843.html,,,21:10,64
Переговори - все? У Зеленського відреагували на ультиматум РФ і вказали на важливий момент,https://www.rbc.ua/rus/news/peregovori-vse-zelenskogo-vidreaguvali-ultimatum-1778176388.html,,,20:55,90
Знаємо методи росіян. Німеччина відповіла на погрози РФ вдарити по Києву,https://www.rbc.ua/rus/news/znaemo-metodi-rosiyan-nimechchina-vidpovila-1778175771.html,,,20:45,72
"Вірменія не підтримує РФ у війні проти України, - Пашинян",https://www.rbc.ua/rus/news/virmeniya-pidtrimue-rf-viyni-proti-ukrayini-1778174232.html,,,20:27,57
Рішення ВАКС у справі Тимошенко: заборону на поїздки за кордон скасували,https://www.rbc.ua/rus/news/rishennya-vaks-spravi-timoshenko-zaboronu-1778174568.html,,,20:22,72
У Путіна висунули ультиматум для мирних переговорів з Україною та США,https://www.rbc.ua/rus/news/putina-visunuli-ultimatum-mirnih-peregovoriv-1778173019.html,,,19:57,69
"Додік, Фіцо і султан Ібрагім: у Кремлі назвали гостей Путіна на 9 травня",https://www.rbc.ua/rus/news/dodik-fitso-i-sultan-ibragim-kremli-nazvali-1778171841.html,,,19:45,72
"""Не рекомендуємо бути в Москві"": Зеленський зробив попередження перед 9 травня",https://www.rbc.ua/rus/news/ne-rekomenduemo-buti-moskvi-zelenskiy-zrobiv-1778170993.html,,,19:23,78
"Росія офіційно оголосила ""перемир'я"" з 00:00 8 травня до 10 травня",https://www.rbc.ua/rus/news/rosiya-ofitsiyno-ogolosila-peremir-ya-00-1778169849.html,,,19:07,66
